,,,,,,,,,,,,,,,,
3.2. Autres facteurs de risque, Accidents de la route, Nombre de tués,http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=252,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route,Fact.risque:Accid.route
,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués,Nombre de tués
000 France métropolitaine,8029,7643, , , , , , ,4620,4275,4273,3992,3963,3653,3268,3384
001 France entière, , , , , , , , ,4838,4443,4443,4172,4111,3842,3427,3557
D01 Ain,112,97, , , , , , ,49,49,51,54,45,39,39,43
D02 Aisne,95,91, , , , , , ,69,51,49,41,49,38,41,31
D03 Allier,61,75, , , , , , ,38,24,36,42,45,22,30,25
D04 Alpes-de-Haute-Provence,28,29, , , , , , ,25,14,19,19,28,12,19,20
D05 Hautes-Alpes,29,13, , , , , , ,11,14,11,15,17,20,12,8
D06 Alpes-Maritimes,98,112, , , , , , ,89,65,75,60,61,61,48,56
D07 Ardèche,46,43, , , , , , ,41,15,32,25,35,28,13,26
D08 Ardennes,30,39, , , , , , ,17,21,28,15,20,18,11,12
D09 Ariège,19,16, , , , , , ,21,13,9,19,17,10,11,14
D10 Aube,60,54, , , , , , ,34,17,29,16,34,22,23,20
D11 Aude,86,61, , , , , , ,58,58,52,36,51,38,38,36
D12 Aveyron,48,48, , , , , , ,20,27,31,19,30,15,34,32
D13 Bouches-du-Rhône,257,222, , , , , , ,142,156,139,150,137,130,145,127
D14 Calvados,107,83, , , , , , ,42,41,51,37,35,39,26,29
D15 Cantal,18,18, , , , , , ,11,6,9,8,22,8,15,12
D16 Charente,65,65, , , , , , ,37,45,25,39,30,25,23,14
D17 Charente-Maritime,96,90, , , , , , ,64,71,64,73,61,63,48,63
D18 Cher,73,72, , , , , , ,29,29,39,29,28,33,31,23
D19 Corrèze,37,43, , , , , , ,19,26,24,23,18,16,11,19
D21 Côte-d'Or,90,104, , , , , , ,39,41,50,34,38,29,28,36
D22 Côtes-d'Armor,82,70, , , , , , ,43,56,41,39,39,39,35,33
D23 Creuse,21,28, , , , , , ,9,8,10,10,9,13,10,3
D24 Dordogne,86,74, , , , , , ,61,39,41,37,33,45,33,39
D25 Doubs,65,63, , , , , , ,38,52,39,44,39,40,36,44
D26 Drôme,80,83, , , , , , ,46,61,57,43,48,45,50,24
D27 Eure,100,97, , , , , , ,54,68,52,47,49,33,38,40
D28 Eure-et-Loir,112,118, , , , , , ,57,40,53,45,41,40,41,37
D29 Finistère,115,95, , , , , , ,65,56,53,41,40,36,41,38
D2A Corse-du-Sud,21,22, , , , , , ,18,11,19,6,15,7,20,12
D2B Haute-Corse,23,35, , , , , , ,23,24,27,30,12,24,19,12
D30 Gard,126,131, , , , , , ,73,69,90,75,71,68,56,43
D31 Haute-Garonne,136,133, , , , , , ,79,74,69,66,59,50,47,51
D32 Gers,55,47, , , , , , ,30,29,31,26,22,24,12,20
D33 Gironde,204,189, , , , , , ,71,100,91,76,86,94,80,61
D34 Hérault,188,151, , , , , , ,107,138,102,104,99,101,70,93
D35 Ille-et-Vilaine,123,92, , , , , , ,73,70,56,55,60,46,45,63
D36 Indre,47,40, , , , , , ,34,20,13,23,16,17,21,22
D37 Indre-et-Loire,91,78, , , , , , ,49,46,42,44,47,41,37,37
D38 Isère,140,128, , , , , , ,108,76,85,78,69,61,86,40
D39 Jura,67,50, , , , , , ,27,21,32,33,31,29,28,30
